,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
23139,AGQ3BHO7V2B8KKMF,3594.887875913972,2,1,2,4
23140,AGQ413PS2FU4N6B7,3594.887875913972,3,1,2,3
23141,AGQ568UTN2LXV2FF,14177.30870712401,2,5,5,4
23142,AGQ807Z7UHOQG8FC,7189.775751827944,3,4,4,3
23143,AGQ86POD70KQFPSE,3544.3271767810024,2,1,1,4
23144,AGQ8GZPYIYOYZ69V,3454.578643139641,1,1,1,5
23145,AGQ8WZNYJTIW19Z5,6916.535927204267,1,4,4,5
23146,AGQAP8EUUOT0IK36,3594.887875913972,4,1,2,2
23147,AGQBF2845NSE3RC2,7189.775751827944,5,4,4,1
23148,AGQBRTM6KAM0MXZU,3594.887875913972,4,1,2,2
23149,AGQCRNJUKWD3BHPL,7189.775751827944,2,4,4,4
23150,AGQE6IMIBQUG2UC9,3473.055488248122,2,1,1,4
23151,AGQEZISMLGW4HRMG,10784.663627741917,2,5,5,4
23152,AGQFBR4G8YBWAVPG,7189.775751827944,4,4,4,2
23153,AGQFZMSXP1W8AX1D,3594.887875913972,5,1,2,1
23154,AGQG0RODMVPM7U08,3544.3271767810024,2,1,1,4
23155,AGQIOKNQZW1ZS9E1,3594.887875913972,5,1,2,1
23156,AGQJV9I3G9AW7ZCK,3594.887875913972,5,1,2,1
23157,AGQK29PRCCBEVVX9,3594.887875913972,4,1,2,2
23158,AGQKBYPOM5LIJQZC,3594.887875913972,5,1,2,1
23159,AGQMAPGZ1MBMF8FJ,3458.2679636021335,1,1,1,5
23160,AGQMCDZTK9V10XCJ,3594.887875913972,4,1,2,2
23161,AGQMTWD8RB0BH2G2,3594.887875913972,3,1,2,3
23162,AGQO1R2J74KDJULR,3594.887875913972,3,1,2,3
23163,AGQOKKE1KJC2ZOHN,7088.654353562005,2,4,4,4
23164,AGQOQBOA94QR1FTY,7189.775751827944,5,4,4,1
23165,AGQPHKFDUWQXA3KM,3458.2679636021335,1,1,1,5
23166,AGQPN839FQU4EPJE,3594.887875913972,3,1,2,3
23167,AGQQ169E0BWL8MIC,7189.775751827944,5,4,4,1
23168,AGQQNB630IUXQ817,3458.2679636021335,1,1,1,5
23169,AGQQY1VZ3UWYZ640,3544.3271767810024,2,1,1,4
23170,AGQR3FWHOXMNQGKF,3544.3271767810024,2,1,1,4
23171,AGQSC07TXW53ZMCE,3594.887875913972,2,1,2,4
23172,AGQSS5TC4I8OQVQR,3544.3271767810024,2,1,1,4
23173,AGQTBMJKLJ5ASE2D,7189.775751827944,3,4,4,3
23174,AGQTSD6W4WLM4Q60,3594.887875913972,5,1,2,1
23175,AGQUND3Q2IY2R99M,7088.654353562005,2,4,4,4
23176,AGQW29NF8CD1H8C0,7189.775751827944,5,4,4,1
23177,AGQXU0CE0NKC56Z3,3594.887875913972,2,1,2,4
23178,AGQYBG9J6Q3DKV3W,3594.887875913972,3,1,2,3
23179,AGQZWK760QS8JA19,3594.887875913972,3,1,2,3
23180,AGQZXCMQY1IESORZ,3458.2679636021335,1,1,1,5
23181,AGR12U60H4I6T8VX,3594.887875913972,3,1,2,3
23182,AGR1IFYS3JXAHUP6,7189.775751827944,4,4,4,2
23183,AGR380GPC9H3AS5Z,3594.887875913972,4,1,2,2
23184,AGR4THZIE0P69N3M,3454.578643139641,1,1,1,5
23185,AGR4WAE535HN5DB0,7189.775751827944,3,4,4,3
23186,AGR4YOEDANAD7E06,3594.887875913972,2,1,2,4
23187,AGR5ZJTWHIJ1JXCD,3594.887875913972,5,1,2,1
23188,AGR6HXBKL0TGXA4P,3594.887875913972,4,1,2,2
23189,AGR7M0XJJ7X55TAO,3594.887875913972,5,1,2,1
23190,AGR7S0U7UKVP5QW7,3594.887875913972,3,1,2,3
23191,AGR8N4O7J5GHOY82,3594.887875913972,5,1,2,1
23192,AGR94YFRXDGGV7I4,3594.887875913972,4,1,2,2
23193,AGR985FR9WWHM1Z8,3594.887875913972,4,1,2,2
23194,AGR9KT73ZBB3QFK1,7189.775751827944,4,4,4,2
23195,AGR9ZODYQU776UNC,3594.887875913972,4,1,2,2
23196,AGRB9OFIJX076OMA,10632.981530343008,2,5,5,4
23197,AGRCB2ZMXO3TJHS8,3473.055488248122,1,1,1,5
23198,AGRCJ0RGRHQRPEH4,3594.887875913972,4,1,2,2
23199,AGRDXQ6MV2KTZTRT,3473.055488248122,1,1,1,5
23200,AGRF0TLOM8LJWIAV,3594.887875913972,2,1,2,4
23201,AGRF4NNK31OU64CM,3544.3271767810024,2,1,1,4
23202,AGRFQQU9R9KBB8MD,3473.055488248122,2,1,1,4
23203,AGRH0N2IDCDT452F,3594.887875913972,5,1,2,1
23204,AGRHN221D89LJ5CJ,10784.663627741917,2,4,5,4
23205,AGRHP3PF58K0UKS0,3594.887875913972,3,1,2,3
23206,AGRICKDMFTF52O4E,3594.887875913972,4,1,2,2
23207,AGRJD983GZ0HPHUL,3454.578643139641,1,1,1,5
23208,AGRJE7539EGLFTSV,3544.3271767810024,2,1,1,4
23209,AGRKQYNOBPZGJDOL,3594.887875913972,3,1,2,3
23210,AGRKU9K0TJSZMDDL,3594.887875913972,3,1,2,3
23211,AGRKXYVMATJRV71J,3594.887875913972,2,1,2,4
23212,AGRL7RJDXCE2BOHM,7189.775751827944,4,4,4,2
23213,AGRLGRWEAV2GPP91,3594.887875913972,5,1,2,1
23214,AGRLIVY2EEUGQ0S2,3458.2679636021335,1,1,1,5
23215,AGRMDA4JUBQL9HQP,10784.663627741917,3,5,5,3
23216,AGRMJHOVSOB5T0G5,3594.887875913972,4,1,2,2
23217,AGRO86L195RN3D86,3594.887875913972,4,1,2,2
23218,AGRQ1MH0K3U850GU,3594.887875913972,3,1,2,3
23219,AGRQEUQA93GI6EJ1,3594.887875913972,5,1,2,1
23220,AGRRA4EMJ98C1DAX,7189.775751827944,5,4,4,1
23221,AGRS6XU6Y8GP3CG9,7189.775751827944,3,4,4,3
23222,AGRS8XFPDEZM1KP7,3594.887875913972,5,1,2,1
23223,AGRT0MVE6LS1G7AS,3594.887875913972,2,1,2,4
23224,AGRU861NFFR4YA1S,3594.887875913972,4,1,2,2
23225,AGRUVL9YO15N8NI9,3594.887875913972,5,1,2,1
23226,AGRXJJCN3INRYPM8,7189.775751827944,5,4,4,1
23227,AGRZKD4QARZLY4EZ,3594.887875913972,4,1,2,2
23228,AGS38CANLP74RW8V,3594.887875913972,3,1,2,3
23229,AGS6VBN8J0BG3R3F,3594.887875913972,3,1,2,3
23230,AGS87U4UEVS8VMTH,3594.887875913972,4,1,2,2
23231,AGS8DWMSBRCWI6K5,3544.3271767810024,2,1,1,4
23232,AGS8XTF5NAUVGOBO,3594.887875913972,2,1,2,4
23233,AGS9NQKQXRMW1LQ8,7189.775751827944,5,4,4,1
23234,AGSB3098ZQ5FCNRS,3594.887875913972,2,1,2,4
23235,AGSB3QORB6IQTZPS,3594.887875913972,4,1,2,2
23236,AGSB54J77WTFQYP6,3454.578643139641,1,1,1,5
23237,AGSCDXNPAEA3X5V3,7189.775751827944,5,4,4,1
23238,AGSCPNM4SECXYXB2,7189.775751827944,3,4,4,3
23239,AGSDRYC1QPUA9R0C,3544.3271767810024,2,1,1,4
23240,AGSEAE8YM4XVPT6Q,3473.055488248122,1,1,1,5
23241,AGSFOHKECM44NKNX,3594.887875913972,5,1,2,1
23242,AGSG50LK3T7QB2HO,7189.775751827944,5,4,4,1
23243,AGSH31LTK5PWVZVP,3594.887875913972,3,1,2,3
23244,AGSHRTYTYP0CTQJN,3544.3271767810024,2,1,1,4
23245,AGSII0YTIDBSWB5K,3458.2679636021335,1,1,1,5
23246,AGSJHOIT2QUU2ENW,3594.887875913972,4,1,2,2
23247,AGSKLV4L1XKTJDEV,3473.055488248122,1,1,1,5
23248,AGSN2IGWZOM8YQET,7088.654353562005,2,4,4,4
23249,AGSNP2856PR8SX4C,3594.887875913972,4,1,2,2
23250,AGSNU0PNPF8BIBPD,6909.157286279282,1,4,4,5
23251,AGSNVCJZUVV5G0XD,7189.775751827944,5,4,4,1
23252,AGSPH8XGHJ2F687T,3458.2679636021335,1,1,1,5
23253,AGSQFJX1XWD1HUIL,3458.2679636021335,1,1,1,5
23254,AGSRPH04ILNEWESW,3594.887875913972,5,1,2,1
23255,AGSRWCIPOTG8YR9T,3544.3271767810024,2,1,1,4
23256,AGSS0Q733U52LL4Y,3594.887875913972,4,1,2,2
23257,AGSS3ZFD8AM0M8JW,3594.887875913972,3,1,2,3
23258,AGSTJJO4NNOKF6Z0,3544.3271767810024,2,1,1,4
23259,AGSTTIZJFTNZTQ59,3594.887875913972,3,1,2,3
23260,AGSTWJII3TOHCJF8,7189.775751827944,3,4,4,3
23261,AGSU4KMVJREH3CBR,17974.43937956986,3,5,5,3
23262,AGSWKW64TDNGLIUC,7189.775751827944,4,4,4,2
23263,AGSYEMTY2FF1D165,7189.775751827944,2,4,4,4
23264,AGSZIX1N2QD3UJVL,10419.166464744365,1,5,5,5
23265,AGT013HVOLWX3QHV,3458.2679636021335,1,1,1,5
23266,AGT0NMUNMGZD9R8O,3594.887875913972,3,1,2,3
23267,AGT2X6OFT5YREY6E,3594.887875913972,3,1,2,3
23268,AGT4IHEGQ2BPNC3R,7088.654353562005,2,4,4,4
23269,AGT5QIKDPQ1ZWCR8,3544.3271767810024,2,1,1,4
23270,AGT66EEVV8YMUT7K,3594.887875913972,3,1,2,3
23271,AGT6MVQBVPXHPBVO,3594.887875913972,2,1,2,4
23272,AGT9JAHEM5H5U63I,3594.887875913972,3,1,2,3
